Changes_20181109_1159_-Gen5_Kombi-03_Prod_Dev-20_Specifications-10_Customer_Requirements-Consolidated-40_Requirements_-_Functions_3.1_sv,AccStateCurrentConsolidation_sv,OEM_ID_sv,Comparison with '/Gen5_Kombi/03_Prod_Dev/20_Specifications/10_Customer_Requirements/Consolidated/40_Requirements_-_Functions' version: 3.1,FSM,English_sv,Function_sv
unchanged,NRQ,40_20230,14.8.9.5.6.1.2 Basis-Kombi,non-FS,Base combination,TBD
unchanged,CON,40_20231,"Beim Benziner hat
die DZM-Skala
einen Bereich
von 0 [ 1/min ] 
bis 7500 [ 1/min  ].

Die Skalenschrittweite beträgt dabei 1000 [ 1/min ] mit einer 500er-Zwischenteilung.

Der Vorwarnbereich wird zwischen 6500 1/min und 7000 1/min abgebildet.
Der Warnbereich wird zwischen 7000 1/min und 7500 1/min abgebildet.",non-FS,"With the gasoline-driven car has
the DZM scale
an area
of 0 [1/min] 
to 7500 [1/min].

The scale incrementation is thereby 1000 [1/min] with a 500er-Zwischenteilung.

The early warning area is illustrated between 6500 1/min and 7000 1/min.
The danger zone is illustrated between 7000 1/min and 7500 1/min.",TBD
unchanged,CON,40_20232,"Beim Diesel hat
die DZM-Skala
einen Bereich
von 0 [ 1/min ] 
bis 6000 [ 1/min  ].

Die Skalenschrittweite beträgt dabei 1000 [ 1/min ] mit einer 500er-Zwischenteilung.

Der Vorwarnbereich wird zwischen 5000 1/min und 5500 1/min abgebildet.
Der Warnbereich wird zwischen 5500 1/min und 6000 1/min abgebildet.",non-FS,"With the Diesel has
the DZM scale
an area
of 0 [1/min] 
to 6000 [1/min].

The scale incrementation is thereby 1000 [1/min] with a 500er-Zwischenteilung.

The early warning area is illustrated between 5000 1/min and 5500 1/min.
The danger zone is illustrated between 5500 1/min and 6000 1/min.",TBD
unchanged,NRQ,40_16721,14.8.9.5.6.2 M GmbH,non-FS,M GmbH,TBD
unchanged,CON,40_23438,"Siehe Kapitel 7.8.91, ""M Variables Vorwarnfeld"", ID 51_19459ff.",non-FS,"See to chapter 7.8.91, “M variable early warning box”, ID 51_19459ff.",TBD
unchanged,CON,40_16726,"Unter der Bedingung
GLOBAL_LAYOUT_VARIANTE == 1h ( = M GmbH )
UND
DZM_VARIANTE = 4h ( = Benziner S58 )
UND
HMI_VORWARNFELD_KOMBI_ENABLE = 0 (Variables Vorwarnfeld wird im Kombi nicht angezeigt)
hat
die DZM-Skala
einen Bereich
von 0 [ 1/min ] 
bis 8000 [ 1/min  ].

Die Skalenschrittweite beträgt dabei 1000 [ 1/min ] mit einer 500er-Zwischenteilung.

Der Vorwarnbereich wird zwischen 7000 1/min und 7500 1/min abgebildet.
Der Warnbereich wird zwischen 7500 1/min und 8000 1/min abgebildet.",non-FS,"On the condition
GLOBAL_LAYOUT_VARIANTE == 1h (= M GmbH)
AND
DZM_VARIANTE = 4h (= gasoline-driven car S58)
AND
HMI_VORWARNFELD_KOMBI_ENABLE = 0 (variable early warning box in the combination one does not display)
has
the DZM scale
an area
of 0 [1/min] 
to 8000 [1/min].

The scale incrementation is thereby 1000 [1/min] with a 500er-Zwischenteilung.

The early warning area is illustrated between 7000 1/min and 7500 1/min.
The danger zone is illustrated between 7500 1/min and 8000 1/min.",TBD
unchanged,CON,40_16727,"Unter der Bedingung
GLOBAL_LAYOUT_VARIANTE == 1h ( = M GmbH )
UND
DZM_VARIANTE = 5h ( = Benziner S63T4 )
UND
HMI_VORWARNFELD_KOMBI_ENABLE = 0 (Variables Vorwarnfeld wird im Kombi nicht angezeigt)
hat
die DZM-Skala
einen Bereich
von 0 [ 1/min ] 
bis 8000 [ 1/min  ].

Die Skalenschrittweite beträgt dabei 1000 [ 1/min ] mit einer 500er-Zwischenteilung.

Der Vorwarnbereich wird zwischen 6700 1/min und 7200 1/min abgebildet.
Der Warnbereich wird zwischen 7200 1/min und 8000 1/min abgebildet.",non-FS,"On the condition
GLOBAL_LAYOUT_VARIANTE == 1h (= M GmbH)
AND
DZM_VARIANTE = 5h (= gasoline-driven car S63T4)
AND
HMI_VORWARNFELD_KOMBI_ENABLE = 0 (variable early warning box in the combination one does not display)
has
the DZM scale
an area
of 0 [1/min] 
to 8000 [1/min].

The scale incrementation is thereby 1000 [1/min] with a 500er-Zwischenteilung.

The early warning area is illustrated between 6700 1/min and 7200 1/min.
The danger zone is illustrated between 7200 1/min and 8000 1/min.",TBD
unchanged,NRQ,40_18713,14.8.9.5.7 Skala und Skalen-Beschriftung bei ACC und DCC,non-FS,Scale and scale label with ACC and DCC,TBD
unchanged,CON,40_18714,"Unter der Bedingung
GETRIEBE_ART == 01b ( = Automatik )
UND
GWS != S-Gasse ( auch über die Schalt-Paddels ) eingelegt ( siehe Anforderung 51_18709 ff. im Kapitel 'funktionsübergreifende Anzeigen' )
UND
keine Geschwindigkeits-Begrenzungs-Funktionen ( ECO PRO-Limit, e-Fahren-Geschwindigkeit ) aktiv, die zum Ausblenden von Tacho-Skalen-Teilen führen ( = Anforderung 51_18640 im Kapitel 'Prioritätensteuerung' ist erfüllt )
UND
{
{
ACC == aktiv
UND
die Bedingungen zum Ausblenden der Skalen-Beschriftung ( = Ziffern ) in der Tacho-Tube sind erfüllt ( siehe Anforderungen 51_94 ff. im Kapitel 'Längs Dynamik Management (LDM)' )
}
ODER
{
DCC == aktiv
UND
die Bedingungen zum Ausblenden der Skalen-Beschriftung ( = Ziffern ) in der Tacho-Tube sind erfüllt ( siehe Anforderungen 51_94 ff. im Kapitel 'Längs Dynamik Management (LDM)' )
}
}
wird die komplette Skalen-Beschriftung ( = Ziffern ) beim DZM ausgeblendet.

Hinweise:
1.) Die Skalen-Striche werden weiterhin angezeigt.
2.) Mit dieser Anforderung sollen die DZM-Ziffern synchron zu den Tacho-Ziffern ein- und ausgeblendet werden.
     Wenn die Geschwindigkeits-Begrenzungs-Funktion ECO PRO-Limit oder e-Fahren-Geschwindigkeit aktiv ist, die zum Ausblenden von Tacho-Skalen-Teilen führt, werden im Tacho die Ziffern wieder angezeigt und damit auch wieder im DZM.",non-FS,"On the condition
GETRIEBE_ART == 01b (= automatic)
AND
GWS! = S-row (also over the switching paddle) placed (see request 51_18709 FF. in the section “function-spreading displays”)
AND
no speed limiting functions (ECO pro limit, e-drive-rate) actively, those for fading out Tacho scale sections lead (= request 51_18640 in the section “priority share control” is fulfilled)
AND
{
{
ACC == active
AND
the conditions for fading out the scale label (= digits) in the Tacho tube are fulfilled (see request 51_94 FF. in the section “longitudinal dynamics management (LDM)”)
}
OR
{
DCC == active
AND
the conditions for fading out the scale label (= digits) in the Tacho tube are fulfilled (see request 51_94 FF. in the section “longitudinal dynamics management (LDM)”)
}
}
the complete scale label (= digits) is faded out with the DZM.

Notes:
1.) The scale strokes are further displayed.
2.) With this request the DZM digits are to be in and faded out synchronously to the Tacho digits.
     If the speed limiting function is ECO pro limit or e-drive-rate of active, which lead to fading out Tacho scale sections, in the Tacho the digits are displayed to re and concomitantly re in the DZM.",TBD
unchanged,CON,40_18715,"Unter der Bedingung
GWS == S-Gasse ( auch über die Schalt-Paddels ) eingelegt ( siehe Anforderung 51_18709 ff. im Kapitel 'funktionsübergreifende Anzeigen' )
wird die komplette Skala ( d. h. mit Skalen-Strichen und Skalen-Beschriftung ( = Ziffern ) ) beim DZM dargestellt.",non-FS,"On the condition
GWS == S-row (also over the switching paddle) placed (see request 51_18709 FF. in the section “function-spreading displays”)
the complete scale (i.e. with scale strokes and scale label (= digits)) is represented with the DZM.",TBD
unchanged,NRQ,40_16366,14.8.9.5.8 Zeigerbewegung,non-FS,Pointer movement,TBD
unchanged,NRQ,40_20145,"14.8.9.5.8.1 High, und Basis-Kombi",non-FS,"High, and base combination",TBD
unchanged,CON,40_271,"Um die geforderte Anzeige-Dynamik zu gewährleisten, muss der DZM-Zeiger innerhalb von 0,6s von 0 1/min bis zum Vollausschlag bewegt werden können.",non-FS,"In order the required display dynamics, be able must ensure the DZM pointer within 0,6s from 0 1/min to the full-scale to be moved.",TBD
unchanged,CON,40_9969,Die Zeit-Differenz bei einer Änderung des CAN-Signals bis zum Beginn der Reaktion des Zeigers darf 100 ms nicht überschreiten.,non-FS,The time difference with a modification of the CAN signal up to the beginning of the response of the pointer may not exceed 100 ms.,TBD
unchanged,CON,40_6671,Die Zeigerbewegung ist ruckelfrei umzusetzen.,non-FS,The pointer movement is to be transferred ruckelfrei.,TBD
unchanged,NRQ,40_20147,"14.8.9.5.8.2 High, und Basis-Kombi",non-FS,"High, and base combination",TBD
unchanged,CON,40_6947,"Die Anzeige der Drehzahl erfolgt mit einer Dämpfung.
Über die Kodierdaten ( DZM_DAEMPFUNG ) ist die maximale Geschwindigkeit zur Zeigerbewegung einstellbar.",non-FS,"The display of the speed takes place with an attenuation.
Over the coding data (DZM_DAEMPFUNG) the max. rate is adjustable for pointer movement.",TBD
unchanged,NRQ,40_20146,14.8.9.5.8.3 Basis-Kombi,non-FS,Base combination,TBD
unchanged,CON,40_20148,"Die Anzeige der Drehzahl erfolgt mit einer Dämpfung ( PT1-Filter ).
Die Dämpfung ist über die Kodierdaten ( DZM_DAEMPFUNG_HERSTELLER ) einstellbar.",non-FS,"The display of the speed takes place with an attenuation (PT1-Filter).
The attenuation is adjustable over the coding data (DZM_DAEMPFUNG_HERSTELLER).",TBD
unchanged,NRQ,40_16367,14.8.9.5.9 Toleranzen,non-FS,Tolerance,TBD
unchanged,NRQ,40_19675,14.8.9.5.9.1 High-Kombi,non-FS,High combination,TBD
unchanged,CON,40_272,"Die maximale Abweichung des Zeigers gegenüber der Skalierung darf im gesamten Anzeigebereich max. +/- 0,1° Winkel betragen.",non-FS,"The max. variation of the pointer in relation to the scaling may be in the total normal range max. 0,1° bracket.",TBD
unchanged,NRQ,40_19676,14.8.9.5.9.2 Basis-Kombi,non-FS,Base combination,TBD
unchanged,CON,40_19677,Die maximale Abweichung des Zeigers gegenüber der Skalierung darf im gesamten Anzeigebereich max. +/- 1° Winkel betragen.,non-FS,The max. variation of the pointer in relation to the scaling may be in the total normal range max. 1° bracket.,TBD
unchanged,CON,40_20149,"Im Fertigungsablauf ist mindestens ein Null-Punkt- und ein End-Punkt-Abgleich des Zeigers vorzusehen, die nichtflüchtig abgespeichert werden.",non-FS,"In the manufacturing process are to be designated at least a null point and a endpoint alignment of the pointer, which are non volatile stored.",TBD
unchanged,CON,40_20150,"Der Abgleich ist an den entsprechenden Punkten mit einer Mindestgenauigkeit von -+0,6° durchzuführen.",non-FS,"The alignment is at the suitable points with a minimum precision of - +0,6° to execute.",TBD
unchanged,NRQ,40_16368,14.8.9.5.10 funktionsübergreifende Anzeigen,non-FS,function-spreading displays,TBD
unchanged,NRQ,40_17350,14.8.9.5.10.1 Lupen-Funktion,non-FS,Magnifying glass function,TBD
unchanged,CON,40_17351,"Prinzip-Darstellung:
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Principle representation:,TBD
unchanged,CON,40_17352,Für die Definition der Darstellung der DZM-Tube mit dem Lupen-Funktion siehe die Anforderungen 51_5740 ff. im Kapitel 'Lupen-Funktion'.,non-FS,For the definition of the representation of the DZM tube with that to magnifying glass function see the request 51_5740 FF. in the section “magnifying glass function”.,TBD
unchanged,NRQ,40_16385,14.8.9.5.10.2 beruhigter Modus,non-FS,reassuring mode,TBD
unchanged,CON,40_17353,"Prinzip-Darstellung DZM im S-Gassen-Layout:
 

Hinweis:
Die Prinzip-Grafik gilt für Verbrenner und PHEV.",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Principle representation DZM in the S-row-layout:
 

Note:
The principle graphics are valid for verb racers and PHEV.",TBD
unchanged,CON,40_22078,"Unter der Bedingung
Anforderungen zur Darstellung des DZM in der rechten großen Tube sind erfüllt ( siehe Anforderungen in diesem Kapitel )
UND
beruhigter Modus == aktiv ( siehe Anforderung 51_16269 ff. im Kapitel 'funktionsübergreifende Anzeigen' )
erfolgt die Anzeige des reduzierten DZM in der rechten großen Tube mit dem S-Gassen-HYBRID-Layout mit:
eingeblendeter Tube
ohne Tuben-Beschriftung
ausgeblendeter Skala
ohne Ziffern
ohne Zeiger
Ganganzeige mit farblich dunkleren Ziffer ( Vorgabe erfolgt durch Design )
mit einem grauen Zeiger-Band auf dem im Signal Anzeige_Drehzahl_Motor_Kurbelwelle übertragenen Wert",non-FS,"On the condition
Request for the representation of the DZM in the right large tube are fulfilled (see request in this section)
AND
reassuring mode == actively (see request 51_16269 FF. in the section “function-spreading displays”)
takes place the display of the reduced DZM in the right large tube with the S-row-HYBRID-layout with:
tube shown
without tube label
faded out scale
without digits
without pointers
Gear display with coloured darker digit (specification takes place via design)
with a grey pointer tape to the value transferred in the signal Anzeige_Drehzahl_Motor_Kurbelwelle",TBD
unchanged,NRQ,40_18701,14.8.9.5.10.2.1 Taschenlampen-Effekt beim DZM im beruhigten Modus,non-FS,Flashlight effect with the DZM in the reassuring mode,TBD
unchanged,CON,40_18702,"Wenn die Bedingungen zur Anzeige der Drehzahl mit dem Taschenlampen-Effekt erfüllt sind ( siehe nachfolgende Anforderungen ), wird der Taschenlampen-Effekt im beruhigten Modus beim DZM wie folgt dargestellt ( siehe auch nachfolgende Prinzip-Darstellung ):
? Anzeige des Zeigers und des Zeigerbandes in der Skala auf dem im Signal Anzeige_Drehzahl_Motor_Kurbelwelle übertragenen Wert
einem eingeblendeten Skalenbereich mit Ziffern im Bereich von ( Zeigerposition - 1000 1/min ) bis ( Zeigerposition + 1000 1/min ), der nach außen dunkler wird

Beispiel an der nachfolgenden Prinzip-Darstellung mit der Zeigerbewegung aufwärts:
die 5 wird eingeblendet, wenn der Zeiger und das Zeigerband >= 4000 1/min erreichen
die 3 wird ausgeblendet, wenn der Zeiger und das Zeigerband > 4000 1/min erreichen
wenn der Zeiger und das Zeigerband == 4000 1/min erreichen, werden die 3, die 4 und die 5 angezeigt

Beispiel an der nachfolgenden Prinzip-Darstellung mit der Zeigerbewegung abwärts:
die 5 wurde ausgeblendet, als der Zeiger und das Zeigerband < 4000 1/min erreicht haben
die 3 wurde eingeblendet, als der Zeiger und das Zeigerband <= 4000 1/min erreicht haben
als der Zeiger und das Zeigerband == 4000 1/min erreicht haben, wurden die 3, die 4 und die 5 angezeigt",non-FS,"<<< TRANSLATION MUST BE UPDATED >>>If the conditions are fulfilled for the display of the speed with the flashlight effect (see following request), the flashlight effect in the reassuring mode with the DZM as follows represented (see also following principle representation):
? display of the pointer and the pointer tape in the scale to the value transferred in the signal Anzeige_Drehzahl_Motor_Kurbelwelle
a zone shown with digits within the range of (pointer item - 1000 1/min) to (pointer item + 1000 1/min), which becomes outward darker

Example at the following principle representation with the pointer movement upward:
the 5 one shows, if the pointer and the pointer tape achieve >= 4000 1/min
the 3 one fades out, if the pointer and the pointer tape achieve > 4000 1/min
if the pointer and the pointer tape achieve == 4000 1/min, the 3, the 4 and the 5 is displayed

Example at the following principle representation with the pointer movement downward:
the 5 one faded out, when the pointer and the pointer tape achieved < 4000 1/min
the 3 one showed, when the pointer and the pointer tape achieved <= 4000 1/min
when the pointer and the pointer tape achieved == 4000 1/min, the 3, the 4 and the 5 was displayed",TBD
unchanged,CON,40_18697,"Prinzip-Darstellung Taschenlampen-Effekt im beruhigten Modus:
  ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Principle representation flashlight effect in the reassuring mode:,TBD
unchanged,NRQ,40_16417,14.8.9.5.10.2.2 Bedingungen zur Anzeige des Taschenlampen-Effekts,non-FS,Conditions for the display of the flashlight effect,TBD
unchanged,CON,40_16414,"Unter der Bedingung
Anforderung 51_17354 == erfüllt ( = Anzeige DZM im beruhigten Modus )
UND
Anforderungen zur Anzeige des DZM == erfüllt ( siehe Anforderungen 51_17356 ff. im Kapitel 'funktionsübergreifende Anzeigen' )
UND
{
Anzeige_Drehzahl_Motor_Kurbelwelle >= DZM_VORWARNBEREICH_ANFANG
ODER
Bedingungen zur READY-Anzeige == erfüllt ( siehe Anforderungen 51_72 ff. im Kapitel 'funktionsübergreifende Anzeigen')
}
erfolgt die Drehzahlanzeige zusätzlich mit dem Taschen-Lampen-Effekt ( siehe Anforderungen 51_18701 ff. in diesem Kapitel ).",non-FS,"On the condition
Request 51_17354 == fulfills (= display DZM in the reassuring mode)
AND
Request for the display of the DZM == fulfilled (see request 51_17356 FF. in the section “function-spreading displays”)
AND
{
Anzeige_Drehzahl_Motor_Kurbelwelle >= DZM_VORWARNBEREICH_ANFANG
OR
Conditions to the ready display == fulfilled (see request 51_72 FF. in the section “function-spreading displays”)
}
takes place the engine speed display additionally with the flashlight effect (see request 51_18701 FF. in this section).",TBD
unchanged,CON,40_16388,"Unter der Bedingung
zuvor Anforderung 51_16414 == erfüllt
UND
{
{
Taschenlampen-Effekt wurde zuvor aufgrund Anzeige_Drehzahl_Motor_Kurbelwelle >= DZM_VORWARNBEREICH_ANFANG eingeschaltet
UND
Wechsel auf Anzeige_Drehzahl_Motor_Kurbelwelle  erreicht den Wert < ( DZM_VORWARNBEREICH_ANFANG - 500 U/min )
}
ODER
{
Taschenlampen-Effekt wurde zuvor aufgrund der erfüllten Bedingungen zur READY-Anzeige ( siehe Anforderungen 51_72 ff. im Kapitel 'funktionsübergreifende Anzeigen') eingeschaltet
UND
Wechsel auf Bedingungen zur READY-Anzeige sind nicht mehr erfüllt ( siehe Anforderungen 51_72 ff. im Kapitel 'funktionsübergreifende Anzeigen' )
}
}
erfolgt wieder die Anzeige im beruhigten Modus ( siehe Anforderung 51_17354 in diesem Kapitel ).",non-FS,"On the condition
before request 51_16414 == fulfills
AND
{
{
Flashlight effect was switched on before due to Anzeige_Drehzahl_Motor_Kurbelwelle >= DZM_VORWARNBEREICH_ANFANG
AND
Change on Anzeige_Drehzahl_Motor_Kurbelwelle achieves the value < (DZM_VORWARNBEREICH_ANFANG - 500 rpm)
}
OR
{
Flashlight effect became before due to the fulfilled conditions the ready display (see request 51_72 FF. in the section “function-spreading displays”) switching on
AND
Changes on conditions to the ready display are not any more fulfilled (see request 51_72 FF. in the section “function-spreading displays”)
}
}
taken place again the display in the reassuring mode (see request 51_17354 in this section).",TBD
unchanged,NRQ,40_16420,14.8.9.5.10.2.3 READY-Anzeige,non-FS,Ready display,TBD
unchanged,CON,40_16421,Für die Anforderungen beim DZM in Verbindung mit der READY-Anzeige im beruhigten Modus siehe Anforderungen 51_16418 ff. im Kapitel 'funktionsübergreifende Anzeigen'.,non-FS,For the request with the DZM in connection with the ready display in the reassuring mode see request 51_16418 FF. in the section “function-spreading displays”.,TBD
unchanged,NRQ,40_16389,14.8.9.5.10.3 Remote Start,non-FS,Remote start,TBD
unchanged,CON,40_16390,Für die Bedingungen zur Anzeige des rechten großen Tube bei aktivem Remote Start siehe die Anforderungen 51_16428 ff. im Kapitel 'Remote Start',non-FS,For the conditions for the display to right large tube with active remote start see the request 51_16428 FF. in the section “remote start”,TBD
unchanged,NRQ,40_16402,14.8.9.5.10.4 READY,non-FS,READY,TBD
unchanged,CON,40_5381,Die Beschreibung der Bedingungen für die READY-Anzeige siehe Anforderungen 51_72 ff. im Kapitel 'funktionsübergreifende Anzeigen'.,non-FS,The description of the conditions for the ready display see request 51_72 FF. in the section “function-spreading displays”.,TBD
unchanged,NRQ,40_16391,14.8.9.5.10.5 Animationsübergänge,non-FS,Animation transitions,TBD
unchanged,CON,40_16392,"Die Animationen werden von Design bzw. Seriengrafik definiert.

Die Animationsübergänge bei der Drehzahl ( z. B. ein Tubenwechsel, Verschiebung der Tubeninhalte ) müssen:
ruckfrei
ohne Blitzeffekte ( = kurzes Einblenden anderer Anzeigen )
unter Einhaltung der vorgegebenen Toleranzen
erfolgen.",non-FS,"The animations are defined by design or series graphics.

Animation transitions at the speed (e.g. a tube change, shift of tube contents) must:
without jerking
without lightning effects (= short showing of other displays)
under adherence to the given tolerance
take place.",TBD
unchanged,NRQ,40_19453,"14.8.9.5.10.6 Liste, Tafel, PAD",non-FS,"List, board, PAD",TBD
unchanged,CON,40_19454,"Wenn die Bedingungen zur Anzeige einer Liste, Tafel oder PAD erfüllt sind, gelten für die Darstellung der großen rechten Tube zusätzlich noch die Anforderungen 51_18625 ff. im Kapitel 'Prioritätensteuerung'.",non-FS,"If the conditions are fulfilled for the display of a list, a board or PADs, additionally still the request 51_18625 FF are valid for the representation of the large right tube. in the section “priority share control”.",TBD
unchanged,NRQ,40_10272,14.8.9.5.11 High-Kombi: zusätzliche PHEV- und 48V-Fahrzeug spezifische Anforderungen,non-FS,High combination: additional PHEV and 48V-Fahrzeug specific request,TBD
unchanged,NRQ,40_5380,14.8.9.5.11.1 DZM-Funktion im PHEV und bei 48V-Fahrzeugen,non-FS,DZM function in the PHEV and with 48V-Fahrzeugen,TBD
unchanged,NRQ,40_17374,14.8.9.5.11.2 Darstellung der Segel-Flächen,non-FS,Representation of the sail areas,TBD
modified,CON,40_9924,"Prinzip-Darstellung eBOOST-Segel-Flächen beim PHEV beim Boosten:
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Principle representation eBOOST sail areas with the PHEV with the Boosten:,TBD
modified,CON,40_19152,"Prinzip-Darstellung CHARGE-Segel-Flächen beim PHEV beim Rekuperieren:
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Principle representation load sail areas with the PHEV with the Rekuperieren:,TBD
unchanged,NRQ,40_9921,14.8.9.5.11.3 Definition der grafischen Elemente,non-FS,Definition of the graphic items,TBD
unchanged,CON,40_19156,"Die eBOOST- und CHARGE-Segel-Flächen werden von allen anderen Anzeigen überdeckt, d. h. z. B.:
die Ziffern der Skalen der linken großen Tube und der rechten großen Tube
die digitale Geschwindigkeit
die zweite Geschwindigkeit
die Linie in der Mitte der linken großen Tube und der rechten großen Tube
die Gang-Anzeige
liegen in z-Richtung auf den Segel-Flächen.",non-FS,"EBOOST and load sail areas are covered by all other displays, i.e. e.g.:
the digits of the scales of the left large tube and the right large tube
the digital rate
the second rate
the line in the center of the left large tube and the right large tube
the gear display
are situated in z-direction on the sail areas.",TBD
unchanged,CON,40_19157,"Wenn die Segel-Flächen in der rechten großen Tube durch eine Liste, eine Tafel oder ein PAD aus der Anzeige verdrängt werden, werden weiterhin die Segel-Flächen in der linken großen Tube angezeigt, sofern die nachfolgenden Bediingungen zur Anzeige erfüllt sind.",non-FS,"If the sail areas in the right large tube are displaced by a list, a board or a PAD from the display, further the sail areas in the left large tube are displayed, if the following Bediingungen is fulfilled to the display.",TBD
unchanged,CON,40_9928,"Die CHARGE-Segel-Flächen stellen die relative Rekuperations-Leistung dar.

Wenn die Bedingungen zur Anzeige der CHARGE-Segel-Flächen erfüllt sind ( siehe Anforderung 51_9926 unten ):
werden die CHARGE-Segel-Flächen sowohl in der linken großen Tube als auch in der rechten großen Tube mit blauer Färbung dargestellt
werden die CHARGE-Segel-Flächen in z-Richtung nach hinten aufbauend dargestellt, d. h. das 1. Segel ist vorne und das 4. Segel in z-Richtung das letzte Segel
wird in der rechten großen Tube zusätzlich der blaue Schriftzug 'CHARGE' unterhalb der Linie in der Tuben-Mitte dargestellt

Hinweis:
Hinsichtlich der Färbung der Segel erfolgt die Vorgabe durch Design.",non-FS,"The load sail areas represent the relative recuperation performance.

If the conditions for the display of the load sail areas are fulfilled (see request 51_9926 below):
the load sail areas are represented both in the left large tube and in the right large tube with blue coloring
the load sail areas in z-direction are represented to the rear constructing, i.e. the 1st sail is in front and the 4th sail in z-direction the final sail
in the right large tube additionally the blue font “LOAD” is represented below the line in the tube center

Note:
Regarding the coloring of the sails the specification takes place via design.",TBD
unchanged,CON,40_9930,"Wenn die Bedingungen zur Anzeige der eBOOST-Segel-Flächen erfüllt sind ( siehe Anforderung 51_9926 unten ):
werden die eBOOST-Segel-Flächen sowohl in der linken großen Tube als auch in der rechten großen Tube mit blauer Färbung dargestellt
werden die eBOOST-Segel-Flächen in z-Richtung nach vorne aufbauend dargestellt, d. h. das 1. Segel ist in z-Richtung das letzte Segel und das 4. Segel in z-Richtung vorne
wird in der rechten großen Tube zusätzlich der blaue Schriftzug 'eBOOST' unterhalb der Linie in der Tuben-Mitte dargestellt

Hinweis:
Hinsichtlich der Färbung der Segel erfolgt die Vorgabe durch Design.",non-FS,"If the conditions for the display of the eBOOST sail areas are fulfilled (see request 51_9926 below):
the eBOOST sail areas are represented both in the left large tube and in the right large tube with blue coloring
the eBOOST sail areas in z-direction are represented forward constructing, i.e. the 1st sail is in z-direction the final sail and the 4th sail in z-direction in front
in the right large tube additionally the blue font is represented “eBOOST” below the line in the tube center

Note:
Regarding the coloring of the sails the specification takes place via design.",TBD
unchanged,NRQ,40_21909,14.8.9.5.11.4 Bedingungen zur DZM-Anzeige,non-FS,Conditions to the DZM display,TBD
unchanged,CON,40_9973,"Unter der Bedingung
Anzeige_Drehzahl_Motor_Kurbelwelle == 0 1/min
bleibt der Zeiger auf READY bzw. dem Nullpunkt der Skala stehen ( d. h. auch bei rein elektrischem Fahren ).",non-FS,"On the condition
Anzeige_Drehzahl_Motor_Kurbelwelle == 0 1/min
the pointer on READY or the null point of the scale remains being (i.e. also when purely electrical driving).",TBD
unchanged,CON,40_9935,"Unter der Bedingung
Anzeige_Drehzahl_Motor_Kurbelwelle > 0 1/min
bewegt sich der Zeiger durch die Skala des Drehzahlmessers.",non-FS,"On the condition
Anzeige_Drehzahl_Motor_Kurbelwelle > 0 1/min
moves the pointer by the scale of the RPM-meter.",TBD
unchanged,NRQ,40_11270,14.8.9.5.11.5 Bedingungen zur Anzeige der Segel-Flächen,non-FS,Conditions for the display of the sail areas,TBD
